state, date, registeredUsers, appOpens
nagaland,2024-1Q,398630,46485081
nagaland,2021-4Q,259990,6383337
nagaland,2021-3Q,241797,8661991
nagaland,2021-2Q,223337,6716892
nagaland,2021-1Q,207808,2980581
nagaland,2022-4Q,321205,11171582
nagaland,2022-3Q,307386,31229366
nagaland,2022-2Q,292104,28652431
nagaland,2022-1Q,276483,24206053
nagaland,2019-4Q,93124,1454551
nagaland,2019-3Q,80077,1244022
nagaland,2019-2Q,66891,362497
nagaland,2019-1Q,53911,0
nagaland,2023-4Q,381162,20169002
nagaland,2023-3Q,366203,51985056
nagaland,2023-2Q,351024,33612080
nagaland,2023-1Q,335936,35227154
nagaland,2018-4Q,42997,0
nagaland,2018-3Q,32090,0
nagaland,2018-2Q,22436,0
nagaland,2018-1Q,15074,0
nagaland,2020-4Q,192188,2922121
nagaland,2020-3Q,173106,2868642
nagaland,2020-2Q,130205,2119279
nagaland,2020-1Q,107143,1684520
jammu-&-kashmir,2024-2Q,2279903,425109975
jammu-&-kashmir,2024-1Q,2195803,342579321
jammu-&-kashmir,2021-4Q,1456810,36012148
jammu-&-kashmir,2021-3Q,1359860,45025197
jammu-&-kashmir,2021-2Q,1261267,34274559
jammu-&-kashmir,2021-1Q,1174818,18834009
jammu-&-kashmir,2022-4Q,1793434,60205865
jammu-&-kashmir,2022-3Q,1719185,109346235
jammu-&-kashmir,2022-2Q,1635570,89986310
jammu-&-kashmir,2022-1Q,1549320,62115857
jammu-&-kashmir,2019-4Q,673367,998572
jammu-&-kashmir,2019-3Q,658455,3843919
jammu-&-kashmir,2019-2Q,631193,2705373
jammu-&-kashmir,2019-1Q,530669,0
jammu-&-kashmir,2023-4Q,2108166,186302862
jammu-&-kashmir,2023-3Q,2031447,283204829
jammu-&-kashmir,2023-2Q,1953132,209249141
jammu-&-kashmir,2023-1Q,1873039,134828711
jammu-&-kashmir,2018-4Q,436563,0
jammu-&-kashmir,2018-3Q,342529,0
jammu-&-kashmir,2018-2Q,261609,0
jammu-&-kashmir,2018-1Q,176425,0
jammu-&-kashmir,2020-4Q,1079022,16018751
jammu-&-kashmir,2020-3Q,949819,11443454
jammu-&-kashmir,2020-2Q,845294,9856653
jammu-&-kashmir,2020-1Q,735408,4476894
ladakh,2024-2Q,134702,41355640
ladakh,2024-1Q,130070,16503075
ladakh,2021-4Q,87057,2665203
ladakh,2021-3Q,81210,7099550
ladakh,2021-2Q,75048,4391632
ladakh,2021-1Q,69919,1184204
ladakh,2022-4Q,106337,3832339
ladakh,2022-3Q,102299,19734781
ladakh,2022-2Q,97517,14768129
ladakh,2022-1Q,92492,8902080
ladakh,2019-4Q,43108,470440
ladakh,2019-3Q,39173,503126
ladakh,2019-2Q,35516,157317
ladakh,2019-1Q,29649,0
ladakh,2023-4Q,124828,7108123
ladakh,2023-3Q,120435,42636030
ladakh,2023-2Q,115736,26285520
ladakh,2023-1Q,110991,14522495
ladakh,2018-4Q,23883,0
ladakh,2018-3Q,17749,0
ladakh,2018-2Q,12918,0
ladakh,2018-1Q,8784,0
ladakh,2020-4Q,64853,1232757
ladakh,2020-3Q,58401,1015680
ladakh,2020-2Q,53034,695673
ladakh,2020-1Q,47790,590484
telangana,2024-2Q,32232171,1007869816
telangana,2024-1Q,31082447,933319286
telangana,2021-4Q,20917649,1407599392
telangana,2021-3Q,19615278,1107529197
telangana,2021-2Q,18306880,905317692
telangana,2021-1Q,17149069,920040042
