date, registeredUsers, appOpens
2021-2Q,Motorola,3069,0.014920801610221406
2021-2Q,Micromax,3045,0.01480411889968204
2021-2Q,Others,24814,0.12064019913849265
2021-1Q,Xiaomi,45624,0.23903305408421482
2021-1Q,Samsung,35701,0.18704451744390133
2021-1Q,Vivo,30076,0.15757404292996768
2021-1Q,Oppo,25290,0.13249925341464563
2021-1Q,Realme,14857,0.07783872708506882
2021-1Q,Huawei,3554,0.018620100697336918
2021-1Q,Apple,3344,0.017519869648816726
2021-1Q,Asus,3198,0.01675494711032174
2021-1Q,Micromax,3117,0.016330572277321095
2021-1Q,Motorola,3077,0.016121004458555344
2021-1Q,Others,23031,0.1206639108498499
2022-4Q,null,null,null
2022-3Q,null,null,null
2022-2Q,null,null,null
2022-1Q,Xiaomi,60423,0.2361758762346632
2022-1Q,Samsung,42900,0.16768358225290123
2022-1Q,Vivo,41306,0.16145310136453003
2022-1Q,Oppo,34290,0.13402960455599028
2022-1Q,Realme,28354,0.11082751261535576
2022-1Q,Apple,4983,0.019477093015529297
2022-1Q,Huawei,3947,0.01542767130890912
2022-1Q,Tecno,3471,0.013567126200462009
2022-1Q,OnePlus,3191,0.012472687901375474
2022-1Q,Micromax,3139,0.01226943507440226
2022-1Q,Others,29835,0.11661630947588132
2019-4Q,Xiaomi,24747,0.2473957812656203
2019-4Q,Samsung,19042,0.1903628911326602
2019-4Q,Vivo,14054,0.14049785064480655
2019-4Q,Oppo,12145,0.12141357592722184
2019-4Q,Realme,5932,0.05930220933719884
2019-4Q,Motorola,2238,0.02237328801359592
2019-4Q,Huawei,2178,0.021773467959612117
2019-4Q,Apple,2052,0.020513845846246125
2019-4Q,Micromax,1999,0.019984004798560433
2019-4Q,Asus,1825,0.0182445266420074
2019-4Q,Others,13818,0.13813855843247025
2019-3Q,Xiaomi,21608,0.24724526574746838
2019-3Q,Samsung,16550,0.1893701012643744
2019-3Q,Vivo,11978,0.13705589564620402
2019-3Q,Oppo,10379,0.11875965444247383
2019-3Q,Realme,4869,0.055712569368957035
2019-3Q,Motorola,2101,0.024040276903713027
2019-3Q,Huawei,1917,0.02193489330053207
2019-3Q,Apple,1850,0.02116825905372161
2019-3Q,Asus,1800,0.020596143944161566
2019-3Q,Micromax,1791,0.020493163224440756
2019-3Q,Others,12552,0.14362377710395333
2019-2Q,Xiaomi,18498,0.24747812591978166
2019-2Q,Samsung,14431,0.19306718754180827
2019-2Q,Vivo,9893,0.13235490862387284
