state, date, name, count, amount
tamil-nadu,2023-3Q,nagapattinam district,825,1138414.0
tamil-nadu,2023-3Q,tirupathur district,573,887565.0
tamil-nadu,2023-3Q,ariyalur district,356,437403.0
tamil-nadu,2023-3Q,chennai district,17189,16904783.0
tamil-nadu,2023-3Q,the nilgiris district,587,956502.0
tamil-nadu,2023-3Q,erode district,1873,2733513.0
tamil-nadu,2023-3Q,karur district,556,904019.0
tamil-nadu,2023-3Q,kallakkurichi district,468,619617.0
tamil-nadu,2023-3Q,viluppuram district,1091,1479600.0
tamil-nadu,2023-3Q,pudukkottai district,569,646934.0
tamil-nadu,2023-3Q,perambalur district,184,331667.0
tamil-nadu,2023-3Q,coimbatore district,9191,12345880.0
tamil-nadu,2023-3Q,virudhunagar district,719,959150.0
tamil-nadu,2023-3Q,dindigul district,1193,1896683.0
tamil-nadu,2023-3Q,sivaganga district,575,842408.0
tamil-nadu,2023-3Q,tenkasi district,493,683080.0
tamil-nadu,2023-3Q,chengalpattu district,10034,12400195.0
tamil-nadu,2023-3Q,kanniyakumari district,946,1689767.0
tamil-nadu,2023-3Q,tirunelveli district,1148,1588116.0
tamil-nadu,2023-3Q,thiruvallur district,11243,13346229.0
tamil-nadu,2023-3Q,theni district,724,1035771.0
tamil-nadu,2023-3Q,ranipet district,826,1063558.0
tamil-nadu,2023-3Q,namakkal district,1051,1482656.0
tamil-nadu,2023-3Q,vellore district,1022,1616090.0
tamil-nadu,2023-3Q,thiruvarur district,545,679938.0
tamil-nadu,2023-2Q,tiruchirappalli district,1715,2570522.0
tamil-nadu,2023-2Q,ramanathapuram district,357,503848.0
tamil-nadu,2023-2Q,krishnagiri district,2245,3368129.0
tamil-nadu,2023-2Q,cuddalore district,1276,1830379.0
tamil-nadu,2023-2Q,kancheepuram district,5617,6741272.0
tamil-nadu,2023-2Q,tiruppur district,3632,5133652.0
tamil-nadu,2023-2Q,dharmapuri district,560,846952.0
tamil-nadu,2023-2Q,thoothukkudi district,674,997002.0
tamil-nadu,2023-2Q,thanjavur district,1081,1723697.0
tamil-nadu,2023-2Q,madurai district,2807,3493908.0
tamil-nadu,2023-2Q,tiruvannamalai district,775,1165967.0
tamil-nadu,2023-2Q,salem district,2159,3040483.0
tamil-nadu,2023-2Q,nagapattinam district,592,894392.0
tamil-nadu,2023-2Q,tirupathur district,498,892473.0
tamil-nadu,2023-2Q,ariyalur district,234,307459.0
tamil-nadu,2023-2Q,chennai district,15678,16453783.0
tamil-nadu,2023-2Q,the nilgiris district,492,976952.0
tamil-nadu,2023-2Q,erode district,1601,2565724.0
tamil-nadu,2023-2Q,karur district,435,711066.0
tamil-nadu,2023-2Q,kallakkurichi district,370,611207.0
tamil-nadu,2023-2Q,viluppuram district,818,1382534.0
